Date,Time,Module,Message
2024-01-06,08:30:12,AlarmService,"notifyMiWearable, mMiWearableExist: false alarm: Alarm:(id:2, enabled:true, hour:8, minutes:30, seconds:0, daysOfWeek:127, time:2024-01-06 08:30:00, vibrate:true, alert:file:///storage/emulated/0/MIUI/.ringtone/Believer%20(Imagine%20Dragons)%20320Kbps(Gomirchi.in).mp3, silent:false, deleteAfterUse:false, skipTime:0)"
2024-01-06,08:30:12,AlarmAlertFullScreenActivity,Alarm dismissed
2024-01-06,08:30:12,NotificationUtil,handle StopWatch Notification
2024-01-06,08:30:12,AlarmService,AlarmService onDestroy start
2024-01-06,08:30:12,AlarmService,AlarmService#stop start
2024-01-06,08:30:12,AlarmService,AlarmService#stop done
2024-01-06,08:30:12,AlarmService,AlarmService onDestroy finish in 20ms
2024-01-06,08:30:12,AlarmAlertFullScreenActivity,AlarmAlertFullScreenActivity onWindowFocusChanged
2024-01-06,08:30:12,AlarmAlertFullScreenActivity,AlarmAlertFullScreenActivity onWindowFocusChanged toggleScreenButtonState() end
2024-01-06,08:30:12,AlarmAlertFullScreenActivity,"notifyPowerState, isEnter: false"
2024-01-06,08:30:12,AlarmAlertFullScreenActivity,AlarmAlertFullScreenActivity#onDestroy start
2024-01-06,10:16:05,AlarmInitReceiver,receive action: android.intent.action.TIME_SET
2024-01-06,10:16:05,NotificationUtil,clearAlarmArrivingNotification
2024-01-06,10:16:05,AlarmHelper,clearAlarmArrivingAlarm
2024-01-06,10:16:05,AlarmHelper,"register alarm to AlarmManager: Alarm:(id:2, enabled:true, hour:8, minutes:30, seconds:0, daysOfWeek:127, time:2024-01-07 08:30:00, vibrate:true, alert:file:///storage/emulated/0/MIUI/.ringtone/Believer%20(Imagine%20Dragons)%20320Kbps(Gomirchi.in).mp3, silent:false, deleteAfterUse:false, skipTime:0)"
2024-01-06,10:16:05,AlarmHelper,setStatusBarIcon: true
2024-01-06,10:16:05,ShutdownAlarm,Set Shutdown Alarm. System will boot at 2024-01-07 08:28:00
2024-01-06,10:16:05,Test,Set Shutdown Alarm Success.
2024-01-06,10:16:05,AlarmHelper,setZenMode
2024-01-06,11:04:54,AlarmInitReceiver,receive action: android.intent.action.TIME_SET
2024-01-06,11:04:54,NotificationUtil,clearAlarmArrivingNotification
2024-01-06,11:04:54,AlarmHelper,clearAlarmArrivingAlarm
2024-01-06,11:04:54,AlarmHelper,"register alarm to AlarmManager: Alarm:(id:2, enabled:true, hour:8, minutes:30, seconds:0, daysOfWeek:127, time:2024-01-07 08:30:00, vibrate:true, alert:file:///storage/emulated/0/MIUI/.ringtone/Believer%20(Imagine%20Dragons)%20320Kbps(Gomirchi.in).mp3, silent:false, deleteAfterUse:false, skipTime:0)"
2024-01-06,11:04:54,AlarmHelper,setStatusBarIcon: true
2024-01-06,11:04:54,ShutdownAlarm,Set Shutdown Alarm. System will boot at 2024-01-07 08:28:00
2024-01-06,11:04:54,Test,Set Shutdown Alarm Success.
2024-01-06,11:04:54,AlarmHelper,setZenMode
2024-01-06,11:05:42,AlarmInitReceiver,receive action: android.intent.action.TIME_SET
2024-01-06,11:05:42,NotificationUtil,clearAlarmArrivingNotification
2024-01-06,11:05:42,AlarmHelper,clearAlarmArrivingAlarm
2024-01-06,11:05:42,AlarmHelper,"register alarm to AlarmManager: Alarm:(id:2, enabled:true, hour:8, minutes:30, seconds:0, daysOfWeek:127, time:2024-01-07 08:30:00, vibrate:true, alert:file:///storage/emulated/0/MIUI/.ringtone/Believer%20(Imagine%20Dragons)%20320Kbps(Gomirchi.in).mp3, silent:false, deleteAfterUse:false, skipTime:0)"
2024-01-06,11:05:42,AlarmHelper,setStatusBarIcon: true
2024-01-06,11:05:43,ShutdownAlarm,Set Shutdown Alarm. System will boot at 2024-01-07 08:28:00
2024-01-06,11:05:43,Test,Set Shutdown Alarm Success.
2024-01-06,11:05:43,AlarmHelper,setZenMode
2024-01-06,11:06:10,AlarmInitReceiver,receive action: android.intent.action.TIME_SET
2024-01-06,11:06:10,NotificationUtil,clearAlarmArrivingNotification
2024-01-06,11:06:10,AlarmHelper,clearAlarmArrivingAlarm
2024-01-06,11:06:10,AlarmHelper,"register alarm to AlarmManager: Alarm:(id:2, enabled:true, hour:8, minutes:30, seconds:0, daysOfWeek:127, time:2024-01-07 08:30:00, vibrate:true, alert:file:///storage/emulated/0/MIUI/.ringtone/Believer%20(Imagine%20Dragons)%20320Kbps(Gomirchi.in).mp3, silent:false, deleteAfterUse:false, skipTime:0)"
2024-01-06,11:06:10,AlarmHelper,setStatusBarIcon: true
2024-01-06,11:06:10,ShutdownAlarm,Set Shutdown Alarm. System will boot at 2024-01-07 08:28:00
2024-01-06,11:06:10,Test,Set Shutdown Alarm Success.
2024-01-06,11:06:10,AlarmHelper,setZenMode
2024-01-06,12:34:54,AlarmInitReceiver,receive action: android.intent.action.TIME_SET
2024-01-06,12:34:54,NotificationUtil,clearAlarmArrivingNotification
2024-01-06,12:34:54,AlarmHelper,clearAlarmArrivingAlarm
2024-01-06,12:34:54,AlarmHelper,"register alarm to AlarmManager: Alarm:(id:2, enabled:true, hour:8, minutes:30, seconds:0, daysOfWeek:127, time:2024-01-07 08:30:00, vibrate:true, alert:file:///storage/emulated/0/MIUI/.ringtone/Believer%20(Imagine%20Dragons)%20320Kbps(Gomirchi.in).mp3, silent:false, deleteAfterUse:false, skipTime:0)"
2024-01-06,12:34:54,AlarmHelper,setStatusBarIcon: true
2024-01-06,12:34:54,ShutdownAlarm,Set Shutdown Alarm. System will boot at 2024-01-07 08:28:00
2024-01-06,12:34:54,Test,Set Shutdown Alarm Success.
2024-01-06,12:34:54,AlarmHelper,setZenMode
2024-01-06,12:35:33,AlarmInitReceiver,receive action: android.intent.action.TIME_SET
2024-01-06,12:35:33,NotificationUtil,clearAlarmArrivingNotification
2024-01-06,12:35:33,AlarmHelper,clearAlarmArrivingAlarm
2024-01-06,12:35:33,AlarmHelper,"register alarm to AlarmManager: Alarm:(id:2, enabled:true, hour:8, minutes:30, seconds:0, daysOfWeek:127, time:2024-01-07 08:30:00, vibrate:true, alert:file:///storage/emulated/0/MIUI/.ringtone/Believer%20(Imagine%20Dragons)%20320Kbps(Gomirchi.in).mp3, silent:false, deleteAfterUse:false, skipTime:0)"
2024-01-06,12:35:33,AlarmHelper,setStatusBarIcon: true
2024-01-06,12:35:33,ShutdownAlarm,Set Shutdown Alarm. System will boot at 2024-01-07 08:28:00
2024-01-06,12:35:33,Test,Set Shutdown Alarm Success.
2024-01-06,12:35:33,AlarmHelper,setZenMode
2024-01-06,12:54:17,AlarmInitReceiver,receive action: android.intent.action.TIME_SET
2024-01-06,12:54:17,NotificationUtil,clearAlarmArrivingNotification
2024-01-06,12:54:17,AlarmHelper,clearAlarmArrivingAlarm
2024-01-06,12:54:17,AlarmHelper,"register alarm to AlarmManager: Alarm:(id:2, enabled:true, hour:8, minutes:30, seconds:0, daysOfWeek:127, time:2024-01-07 08:30:00, vibrate:true, alert:file:///storage/emulated/0/MIUI/.ringtone/Believer%20(Imagine%20Dragons)%20320Kbps(Gomirchi.in).mp3, silent:false, deleteAfterUse:false, skipTime:0)"
2024-01-06,12:54:17,AlarmHelper,setStatusBarIcon: true
2024-01-06,12:54:17,ShutdownAlarm,Set Shutdown Alarm. System will boot at 2024-01-07 08:28:00
2024-01-06,12:54:17,Test,Set Shutdown Alarm Success.
2024-01-06,12:54:17,AlarmHelper,setZenMode
2024-01-06,12:55:06,AlarmInitReceiver,receive action: android.intent.action.TIME_SET
2024-01-06,12:55:06,NotificationUtil,clearAlarmArrivingNotification
2024-01-06,12:55:06,AlarmHelper,clearAlarmArrivingAlarm
2024-01-06,12:55:06,AlarmHelper,"register alarm to AlarmManager: Alarm:(id:2, enabled:true, hour:8, minutes:30, seconds:0, daysOfWeek:127, time:2024-01-07 08:30:00, vibrate:true, alert:file:///storage/emulated/0/MIUI/.ringtone/Believer%20(Imagine%20Dragons)%20320Kbps(Gomirchi.in).mp3, silent:false, deleteAfterUse:false, skipTime:0)"
2024-01-06,12:55:06,AlarmHelper,setStatusBarIcon: true
2024-01-06,12:55:06,ShutdownAlarm,Set Shutdown Alarm. System will boot at 2024-01-07 08:28:00
2024-01-06,12:55:06,Test,Set Shutdown Alarm Success.
2024-01-06,12:55:06,AlarmHelper,setZenMode
2024-01-06,22:15:43,AlarmInitReceiver,receive action: android.intent.action.TIME_SET
2024-01-06,22:15:43,NotificationUtil,clearAlarmArrivingNotification
2024-01-06,22:15:43,AlarmHelper,clearAlarmArrivingAlarm
2024-01-06,22:15:43,AlarmHelper,"register alarm to AlarmManager: Alarm:(id:2, enabled:true, hour:8, minutes:30, seconds:0, daysOfWeek:127, time:2024-01-07 08:30:00, vibrate:true, alert:file:///storage/emulated/0/MIUI/.ringtone/Believer%20(Imagine%20Dragons)%20320Kbps(Gomirchi.in).mp3, silent:false, deleteAfterUse:false, skipTime:0)"
2024-01-06,22:15:43,AlarmHelper,setStatusBarIcon: true
2024-01-06,22:15:43,ShutdownAlarm,Set Shutdown Alarm. System will boot at 2024-01-07 08:28:00
2024-01-06,22:15:43,Test,Set Shutdown Alarm Success.
2024-01-06,22:15:43,AlarmHelper,setZenMode
2024-01-06,22:54:58,AlarmInitReceiver,receive action: android.intent.action.TIME_SET
2024-01-06,22:54:58,NotificationUtil,clearAlarmArrivingNotification
2024-01-06,22:54:58,AlarmHelper,clearAlarmArrivingAlarm
2024-01-06,22:54:58,AlarmHelper,"register alarm to AlarmManager: Alarm:(id:2, enabled:true, hour:8, minutes:30, seconds:0, daysOfWeek:127, time:2024-01-07 08:30:00, vibrate:true, alert:file:///storage/emulated/0/MIUI/.ringtone/Believer%20(Imagine%20Dragons)%20320Kbps(Gomirchi.in).mp3, silent:false, deleteAfterUse:false, skipTime:0)"
2024-01-06,22:54:58,AlarmHelper,setStatusBarIcon: true
2024-01-06,22:54:58,ShutdownAlarm,Set Shutdown Alarm. System will boot at 2024-01-07 08:28:00
